NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006614	Details ...	89	-0.7051722	-1.961015	0.0	6.8209367E-4	0.001	2317	tags=60%, list=18%, signal=72%	
COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006613	Details ...	95	-0.70221734	-1.9402102	0.0	3.4104683E-4	0.001	2317	tags=58%, list=18%, signal=70%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	Details ...	85	-0.7025017	-1.929892	0.0	2.2736457E-4	0.001	2317	tags=64%, list=18%, signal=77%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	89	-0.708405	-1.9234992	0.0	3.4347674E-4	0.002	2317	tags=64%, list=18%, signal=78%	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	Details ...	81	-0.6999214	-1.9041417	0.0	5.475825E-4	0.004	2317	tags=62%, list=18%, signal=75%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	89	-0.6783062	-1.8785567	0.0	0.0011417918	0.01	2317	tags=61%, list=18%, signal=74%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	Details ...	87	-0.68332607	-1.8738967	0.0	0.0012734968	0.013	2317	tags=60%, list=18%, signal=72%	
PROTEIN TARGETING TO ER%GOBP%GO:0045047	PROTEIN TARGETING TO ER%GOBP%GO:0045047	Details ...	102	-0.6596411	-1.8561149	0.0	0.0023921975	0.028	2317	tags=53%, list=18%, signal=64%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION%MSIGDB_C2%HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	149	-0.6404371	-1.8532907	0.0	0.00220269	0.029	2304	tags=42%, list=18%, signal=50%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME%R-HSA-72689.2	Details ...	96	-0.6662398	-1.8465534	0.0	0.0023939547	0.035	2317	tags=58%, list=18%, signal=71%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	106	-0.64642197	-1.8316396	0.0	0.0035465239	0.053	2317	tags=55%, list=18%, signal=66%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	105	-0.65580934	-1.8308282	0.0	0.003307556	0.053	2317	tags=55%, list=18%, signal=67%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	Details ...	91	-0.66871303	-1.8243998	0.0	0.0037904985	0.066	2317	tags=57%, list=18%, signal=69%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	Details ...	95	-0.65342844	-1.8052529	0.0	0.0064012352	0.115	2321	tags=56%, list=18%, signal=68%	
CILIOPATHIES%WIKIPATHWAYS_20210210%WP4803%HOMO SAPIENS	CILIOPATHIES%WIKIPATHWAYS_20210210%WP4803%HOMO SAPIENS	Details ...	117	-0.6404193	-1.8047417	0.0	0.006065045	0.117	2346	tags=43%, list=18%, signal=52%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	EUKARYOTIC TRANSLATION INITIATION%REACTOME%R-HSA-72613.3	Details ...	113	-0.6350142	-1.7846181	0.0	0.010598378	0.198	2317	tags=51%, list=18%, signal=62%	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	ESTABLISHMENT OF PROTEIN LOCALIZATION TO ENDOPLASMIC RETICULUM%GOBP%GO:0072599	Details ...	106	-0.6298489	-1.7800646	0.0	0.011986658	0.238	2317	tags=52%, list=18%, signal=63%	
NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184	NUCLEAR-TRANSCRIBED MRNA CATABOLIC PROCESS, NONSENSE-MEDIATED DECAY%GOBP%GO:0000184	Details ...	108	-0.6311415	-1.7793075	0.0	0.011395643	0.24	2317	tags=50%, list=18%, signal=60%	
VIRAL TRANSCRIPTION%GOBP%GO:0019083	VIRAL TRANSCRIPTION%GOBP%GO:0019083	Details ...	111	-0.63093966	-1.7670051	0.0	0.015472813	0.344	2615	tags=52%, list=20%, signal=65%	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 75%72737	Details ...	113	-0.6350142	-1.7662277	0.0	0.01493821	0.35	2317	tags=51%, list=18%, signal=62%	
CELLULAR RESPIRATION%GOBP%GO:0045333	CELLULAR RESPIRATION%GOBP%GO:0045333		111	-0.6254092	-1.7614915	0.0	0.015498747	0.372	2784	tags=54%, list=22%, signal=68%	
PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612	PROTEIN TARGETING TO MEMBRANE%GOBP%GO:0006612		156	-0.60756165	-1.7582016	0.0	0.016193181	0.394	2362	tags=42%, list=18%, signal=51%	
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522	SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 75%2408522		96	-0.63220274	-1.758093	0.0	0.015489128	0.394	2317	tags=55%, list=18%, signal=67%	
ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900	ELECTRON TRANSPORT CHAIN%GOBP%GO:0022900		81	-0.6437389	-1.7465857	0.0	0.01996725	0.49	2761	tags=53%, list=21%, signal=67%	
RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904	RESPIRATORY ELECTRON TRANSPORT CHAIN%GOBP%GO:0022904		77	-0.652495	-1.7460705	0.0	0.019332848	0.495	2761	tags=56%, list=21%, signal=71%	
GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20210210%WP4536%HOMO SAPIENS	GENES RELATED TO PRIMARY CILIUM DEVELOPMENT (BASED ON CRISPR)%WIKIPATHWAYS_20210210%WP4536%HOMO SAPIENS		69	-0.64998925	-1.7329415	0.0	0.025160791	0.617	3064	tags=59%, list=24%, signal=78%	
THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 75%1428517	THE CITRIC ACID (TCA) CYCLE AND RESPIRATORY ELECTRON TRANSPORT%REACTOME DATABASE ID RELEASE 75%1428517		133	-0.60704756	-1.7277195	0.0	0.026913337	0.656	2304	tags=43%, list=18%, signal=52%	
RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1	RESPIRATORY ELECTRON TRANSPORT, ATP SYNTHESIS BY CHEMIOSMOTIC COUPLING, AND HEAT PRODUCTION BY UNCOUPLING PROTEINS.%REACTOME%R-HSA-163200.1		93	-0.62343407	-1.7221566	0.0	0.029350067	0.701	2267	tags=42%, list=18%, signal=51%	
TRANSLATIONAL INITIATION%GOBP%GO:0006413	TRANSLATIONAL INITIATION%GOBP%GO:0006413		117	-0.6118186	-1.7206609	0.0	0.029490445	0.715	2317	tags=50%, list=18%, signal=61%	
ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.3	ION TRANSPORT BY P-TYPE ATPASES%REACTOME%R-HSA-936837.3		37	-0.71775514	-1.7154137	0.0	0.032329947	0.764	1767	tags=38%, list=14%, signal=44%	
ELECTRON TRANSPORT CHAIN (OXPHOS SYSTEM IN MITOCHONDRIA)%WIKIPATHWAYS_20210210%WP111%HOMO SAPIENS	ELECTRON TRANSPORT CHAIN (OXPHOS SYSTEM IN MITOCHONDRIA)%WIKIPATHWAYS_20210210%WP111%HOMO SAPIENS		66	-0.6498634	-1.7142228	0.0	0.0321251	0.773	2267	tags=50%, list=18%, signal=60%	
RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3	RESPIRATORY ELECTRON TRANSPORT%REACTOME%R-HSA-611105.3		90	-0.6156068	-1.7126895	0.0	0.032231797	0.79	2761	tags=48%, list=21%, signal=60%	
AXONEME ASSEMBLY%GOBP%GO:0035082	AXONEME ASSEMBLY%GOBP%GO:0035082		32	-0.723602	-1.7123412	0.0	0.03139955	0.792	2729	tags=72%, list=21%, signal=91%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181		104	-0.6137809	-1.7090663	0.0	0.033068776	0.819	2317	tags=51%, list=18%, signal=62%	
