NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDB_C2%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	118	0.7470998	2.5744214	0.0	0.0	0.0	1293	tags=46%, list=10%, signal=50%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDB_C2%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	Details ...	118	0.66276354	2.2582068	0.0	0.0	0.0	1080	tags=44%, list=8%, signal=48%	
TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9683701	TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9683701	Details ...	29	0.82131106	2.1841345	0.0	0.0	0.0	7	tags=14%, list=0%, signal=14%	
SMOOTH MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 75%445355	SMOOTH MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 75%445355	Details ...	28	0.8173147	2.1675293	0.0	0.001498642	0.003	264	tags=46%, list=2%, signal=47%	
INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	INTEGRIN-MEDIATED SIGNALING PATHWAY%GOBP%GO:0007229	Details ...	43	0.7409175	2.1620755	0.0	0.0011989137	0.003	1107	tags=49%, list=9%, signal=53%	
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS%GOBP%GO:1902041	REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS%GOBP%GO:1902041	Details ...	34	0.7706148	2.1407573	0.0	0.0016578893	0.005	894	tags=35%, list=7%, signal=38%	
CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	CYTOSKELETAL REGULATION BY RHO GTPASE%PANTHER PATHWAY%P00016	Details ...	50	0.7221547	2.1174285	0.0	0.0017113906	0.006	1124	tags=46%, list=9%, signal=50%	
TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9694635	TRANSLATION OF STRUCTURAL PROTEINS%REACTOME DATABASE ID RELEASE 75%9694635	Details ...	45	0.7216144	2.0914547	0.0	0.0044771633	0.018	351	tags=11%, list=3%, signal=11%	
DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	DIRECT P53 EFFECTORS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DIRECT P53 EFFECTORS	Details ...	104	0.63427657	2.0854526	0.0	0.004855308	0.022	1432	tags=34%, list=11%, signal=38%	
INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	INTEGRIN SIGNALLING PATHWAY%PANTHER PATHWAY%P00034	Details ...	136	0.58641374	2.0850606	0.0	0.004369777	0.022	1433	tags=35%, list=11%, signal=38%	
